customer_id,first_name,last_name,email,gender,age,city,country,signup_date,acquisition_channel
30,Lisa,Keith,whitesandra@example.com,F,42,South Noah,USA,2025-12-13,Facebook Ads
31,Michelle,Cochran,erik16@example.org,M,66,New Stephanie,USA,2026-02-13,Affiliate
32,Jeffrey,Velasquez,ybailey@example.org,F,44,Ramirezstad,USA,2024-03-18,Affiliate
33,Donna,Ross,michelle45@example.net,F,59,Coxberg,USA,2025-01-26,Affiliate
34,Erin,Anthony,sheila14@example.org,F,45,New Kellystad,USA,2025-04-14,Google Search
35,Tonya,Johnson,yreed@example.com,M,33,Jacquelineland,USA,2024-11-07,Affiliate
36,Tracey,Wilson,jonathanfletcher@example.org,F,32,New Mariotown,USA,2025-02-06,Google Display
37,Lindsay,Mcdaniel,michaeljones@example.net,F,64,West Donald,USA,2026-04-22,Instagram Ads
38,Cindy,Alvarado,cortezkevin@example.com,M,68,South Aaron,USA,2025-07-17,Google Display
39,Mark,Terry,jamesortega@example.com,M,61,Lisatown,USA,2025-07-29,Facebook Ads
40,Raven,Gilbert,richard04@example.com,M,69,Lake Chad,USA,2024-03-04,Affiliate
41,Kristi,Lawson,steven73@example.net,F,20,West Natashaport,USA,2024-12-17,Facebook Ads
42,Rachel,Flynn,donnacampbell@example.net,F,54,Juliechester,USA,2025-06-10,Email
43,Matthew,Cardenas,emilywalker@example.org,F,68,Teresaburgh,USA,2023-12-26,Google Search
44,Brandon,Riggs,gibsonolivia@example.net,M,24,Cassandraton,USA,2024-02-16,Affiliate
45,Heather,Snyder,dylanwatts@example.org,F,38,Jasonfort,USA,2025-11-17,Facebook Ads
46,Jeffery,Brock,pwilliams@example.org,F,26,East Courtneychester,USA,2024-11-29,Instagram Ads
47,Laurie,Contreras,stephanie79@example.net,F,56,East William,USA,2026-03-21,Affiliate
48,Ronald,Meadows,vmerritt@example.com,F,35,South Aaron,USA,2024-11-22,Instagram Ads
49,Karen,Larsen,katie87@example.net,M,21,East Lydiamouth,USA,2024-04-05,Affiliate
50,Scott,Reeves,josephflores@example.net,M,42,New Kellystad,USA,2023-10-14,Google Search
51,Edward,Reyes,jasminebrown@example.com,M,31,Port Colleenhaven,USA,2024-07-14,Email
52,Steven,Brown,xprice@example.net,M,67,West Natashaport,USA,2026-05-19,Google Search
53,Andrew,Gilmore,wwoods@example.com,F,26,New Jamesside,USA,2025-10-20,Facebook Ads
54,Melissa,Ashley,vmedina@example.net,F,43,East Lydiamouth,USA,2025-12-10,Instagram Ads
55,Rachael,Freeman,ryan06@example.com,M,19,Jacquelineland,USA,2025-07-20,Email
56,Lauren,Ramsey,ncalhoun@example.net,M,37,Ericmouth,USA,2023-08-16,Affiliate
57,Phillip,Elliott,millerroy@example.com,F,45,Lake Roberto,USA,2024-02-02,Email
58,Jorge,Murphy,wmurphy@example.com,M,64,Herrerafurt,USA,2024-05-17,Affiliate
59,Stephanie,Fisher,ruizkaitlyn@example.org,F,24,East Nathaniel,USA,2026-07-17,Instagram Ads
60,Michael,Santos,websterstefanie@example.org,F,61,Teresaburgh,USA,2026-01-22,Email
61,Christine,Allen,kcaldwell@example.org,F,25,Ramirezstad,USA,2024-12-08,Email
62,Jonathan,Wood,stricklandfrank@example.com,M,64,East Lydiamouth,USA,2023-11-13,Google Display
63,Anthony,Collins,tsanders@example.org,F,52,South Patrickmouth,USA,2023-10-09,Email
64,Hannah,Burton,terrykevin@example.net,F,31,Cassandraton,USA,2025-05-06,Instagram Ads
65,David,Riggs,reedross@example.com,M,34,Lake Roberto,USA,2023-10-01,Google Search
66,Deborah,Smith,gshort@example.com,M,53,New Mariotown,USA,2026-06-05,Email
67,Cynthia,Poole,ryangross@example.net,M,67,New Mariotown,USA,2024-05-09,Instagram Ads
68,Lindsey,Medina,umarshall@example.net,M,57,Lake Roberto,USA,2024-05-07,Affiliate
69,Melissa,Rivas,ramirezshannon@example.com,M,21,West Michael,USA,2025-04-02,Facebook Ads
70,Elizabeth,Rogers,lrosales@example.com,M,19,Jasonfort,USA,2024-03-06,Facebook Ads
71,Lauren,Peterson,angela83@example.org,M,23,South Noah,USA,2024-04-07,Affiliate
72,Richard,Peters,hannahbrewer@example.com,F,59,Ramirezstad,USA,2024-11-20,Email
73,Andre,Phillips,tholt@example.net,M,21,New Stephanie,USA,2025-04-15,Email
74,Thomas,Schmidt,jbarajas@example.com,F,46,Jacquelineland,USA,2024-08-06,Google Display
75,Shawn,Parker,davidlee@example.org,F,35,Port Jesseville,USA,2025-10-09,Facebook Ads
76,Stephanie,Vaughn,javierwashington@example.net,M,43,East Courtneychester,USA,2025-04-24,Google Search
77,Kathleen,Carlson,wallkenneth@example.com,F,61,Daviston,USA,2024-01-30,Google Display
78,Alexis,Ferguson,brandon08@example.com,M,51,North Noahstad,USA,2025-08-20,Facebook Ads
79,David,Oneill,agarcia@example.net,F,27,Jasonfort,USA,2024-05-24,Facebook Ads
80,Timothy,Peterson,kingmichelle@example.org,M,53,Port Jesseville,USA,2026-01-04,Instagram Ads
81,Richard,Jones,hernandezlisa@example.com,F,31,Herrerafurt,USA,2023-10-19,Google Display
82,John,Grant,yobrien@example.net,M,48,South Noah,USA,2024-03-21,Google Display
83,Alexandra,Hayes,levans@example.com,M,65,Lake Roberto,USA,2024-06-16,Google Display
84,Christine,Lynch,mezajared@example.org,M,32,Lisatown,USA,2024-05-03,Affiliate
85,Christopher,Allen,moorericky@example.net,M,25,Ericmouth,USA,2025-04-28,Instagram Ads
86,Kelly,Hall,jacqueline71@example.net,M,31,Daviston,USA,2024-03-29,Google Display
87,Joseph,Moody,ronaldstephens@example.net,F,40,Ramirezstad,USA,2023-12-28,Google Display
88,Joseph,Thomas,martinkyle@example.net,M,57,Lake Chad,USA,2026-01-06,Google Display
89,Samantha,Gonzales,sbarker@example.com,M,38,Juliechester,USA,2026-05-16,Google Search
90,Vincent,Snyder,georgepamela@example.net,F,33,Lake Mark,USA,2024-07-05,Google Display
91,John,Davis,keyemily@example.com,F,62,New Kellystad,USA,2025-04-09,Instagram Ads
92,Kathryn,Thompson,lmoon@example.net,F,35,Ramirezstad,USA,2024-11-06,Facebook Ads
93,Lisa,Costa,vbailey@example.com,M,64,Adamsborough,USA,2025-07-21,Facebook Ads
94,Mia,Rivera,zroberts@example.net,M,41,New Mariotown,USA,2023-08-27,Google Display
95,Christopher,King,cordovarichard@example.net,M,43,Lisatown,USA,2026-01-07,Email
96,Aaron,Booth,mgutierrez@example.net,M,42,Port Keith,USA,2024-08-17,Facebook Ads
97,Katherine,Garrett,harrisandrea@example.com,M,62,Jacquelineland,USA,2024-11-09,Google Display
98,Helen,Martinez,jennifercollins@example.org,M,58,New Stephanie,USA,2025-03-14,Instagram Ads
99,Christopher,Gay,murraydavid@example.org,M,46,North John,USA,2025-01-14,Facebook Ads
100,Jennifer,Hicks,robert77@example.org,F,32,New Mariotown,USA,2024-11-29,Email
101,Duane,Lee,michellehill@example.com,F,62,New Jessica,USA,2024-07-24,Instagram Ads
102,Kristin,Adams,campbellkenneth@example.net,F,18,Jacquelineland,USA,2025-04-13,Google Search
103,Donna,Grimes,wryan@example.com,F,42,Herrerafurt,USA,2025-03-13,Affiliate
104,Amy,Gibson,molly39@example.com,F,24,Tashatown,USA,2024-03-29,Google Search
105,Kimberly,Williams,zthornton@example.com,M,26,East William,USA,2024-09-13,Google Display
106,Elizabeth,Hoover,tylerjohnson@example.net,M,41,Lake Roberto,USA,2026-06-10,Email
107,Martin,Garcia,dgarcia@example.org,M,18,South Aaron,USA,2025-09-16,Google Search
108,Robert,Pena,charlesharrington@example.com,M,61,Wilkersonmouth,USA,2024-07-23,Facebook Ads
109,Heather,Santos,melissa86@example.com,M,25,West Donald,USA,2025-06-03,Google Search
110,Paige,Freeman,williamsonjimmy@example.net,M,41,South Patrickmouth,USA,2026-04-22,Email
111,Wendy,Francis,wgood@example.net,F,28,North John,USA,2025-08-27,Affiliate
112,Craig,Jackson,rebecca05@example.org,M,68,East Nathaniel,USA,2024-06-03,Google Search
113,Nicholas,Thomas,yknight@example.org,M,34,Herrerafurt,USA,2024-01-20,Google Search
114,Christian,Pitts,tyleraguilar@example.org,M,25,North Noahstad,USA,2024-12-04,Affiliate
115,Jonathan,Scott,nolansteven@example.com,M,52,South Noah,USA,2025-07-29,Google Search
116,Eric,Alexander,vanessa46@example.net,M,52,Jasonfort,USA,2024-04-17,Instagram Ads
117,Megan,Gonzalez,gcastaneda@example.org,F,50,South Aaron,USA,2024-09-07,Google Display
118,Michael,Phillips,andrew64@example.org,F,22,Lisatown,USA,2025-03-29,Facebook Ads
119,Gina,Garner,lozanojulie@example.com,F,59,South Noah,USA,2025-11-14,Facebook Ads
120,Jerry,Pham,danaoliver@example.net,M,56,Jasonfort,USA,2025-10-23,Instagram Ads
121,Katrina,Becker,courtneyberger@example.net,F,58,Lake Chad,USA,2023-08-30,Affiliate
122,Kristina,Johnson,jessica14@example.com,F,45,East Nathaniel,USA,2025-10-14,Affiliate
123,Gregory,Anderson,alyssa42@example.com,F,24,East Nathaniel,USA,2026-04-14,Facebook Ads
124,Sherry,Coffey,julie51@example.com,M,26,Lake Roberto,USA,2026-06-07,Affiliate
125,Donald,Levy,zcoffey@example.net,M,25,Port Colleenhaven,USA,2024-08-21,Facebook Ads
126,Krystal,Smith,gibsonemily@example.net,F,29,New Mariotown,USA,2024-04-30,Email
127,Parker,Little,daniel37@example.org,M,51,East Courtneychester,USA,2025-05-27,Instagram Ads
128,Sherry,Murphy,deborahreid@example.com,M,50,East Lydiamouth,USA,2026-04-09,Google Search
129,Kevin,Ortiz,brandonjohnson@example.com,M,65,Wilkersonmouth,USA,2023-11-22,Instagram Ads
130,Jimmy,Medina,qchavez@example.net,M,40,North Noahstad,USA,2025-08-19,Google Search
131,Amber,Matthews,nicolepena@example.com,F,41,North John,USA,2025-05-22,Affiliate
132,Sheila,Ramirez,jeff73@example.com,M,54,Jacquelineland,USA,2023-11-03,Instagram Ads
133,Gina,Stephens,bruce43@example.org,M,52,Daviston,USA,2026-05-23,Facebook Ads
134,Madison,Davis,darleneharper@example.org,M,61,Jasonfort,USA,2023-09-11,Google Display
135,Matthew,Zhang,caseyhubbard@example.org,M,57,South Noah,USA,2025-04-20,Instagram Ads
136,Lisa,Hall,kristinacarlson@example.com,M,39,Juliechester,USA,2026-02-12,Facebook Ads
137,Duane,Anderson,lauren10@example.org,F,44,West Michael,USA,2023-08-03,Instagram Ads
138,Kristy,Young,alfred40@example.org,F,52,Wilkersonmouth,USA,2025-10-07,Google Search
139,Alicia,Reese,xwest@example.net,M,18,West Michael,USA,2025-04-28,Facebook Ads
140,Shannon,Walker,acostaregina@example.net,M,52,Coxberg,USA,2025-02-08,Google Search
141,Stephen,Maynard,lutzmelanie@example.com,F,54,Lake Roberto,USA,2025-08-07,Google Search
142,Tracy,Browning,lammarc@example.org,F,64,South Aaron,USA,2023-09-27,Google Display
143,Joshua,Schultz,oscar98@example.com,F,31,New Jamesside,USA,2024-11-26,Facebook Ads
144,Catherine,Garcia,farrelldebra@example.net,F,20,Port Keith,USA,2025-09-15,Email
145,Jason,Hayes,robertwilcox@example.com,F,18,Robinsonshire,USA,2024-10-15,Facebook Ads
146,Cody,Simmons,nicholas27@example.org,F,22,Wilkersonmouth,USA,2023-10-25,Affiliate
147,Christopher,Reynolds,lisa80@example.net,F,43,East Courtneychester,USA,2026-05-31,Email
148,Anna,Santiago,qgomez@example.com,M,31,Juliechester,USA,2026-02-23,Email
149,Jennifer,Schmitt,michael98@example.org,M,56,New Jessica,USA,2024-01-03,Facebook Ads
150,Timothy,Boone,megan51@example.com,F,44,East William,USA,2025-04-07,Email
151,Lindsay,Bruce,lynchdiane@example.net,M,26,West Donald,USA,2024-05-06,Google Display
152,Henry,Park,sandra50@example.org,M,32,Jasonfort,USA,2026-02-25,Email
153,Ashley,Morales,joycebonilla@example.org,F,32,Cassandraton,USA,2025-10-12,Affiliate
154,Jason,Barnes,eric45@example.net,F,43,South Aaron,USA,2025-05-01,Google Search
155,Nicole,Moore,craigjoseph@example.net,F,59,Adamsborough,USA,2024-10-24,Google Display
156,Catherine,Perry,kariwilson@example.com,F,30,East Nathaniel,USA,2023-11-16,Instagram Ads
157,Erika,Watkins,brandon69@example.org,M,68,Daviston,USA,2023-07-26,Affiliate
158,Kevin,Clark,kathrynroberts@example.org,F,49,Port Keith,USA,2023-07-26,Email
159,Julie,Thompson,opatel@example.net,F,56,Coxberg,USA,2025-03-21,Email
160,Elizabeth,Gomez,chensley@example.com,M,66,East Lydiamouth,USA,2023-08-07,Google Search
161,Samantha,Atkins,tberry@example.net,M,69,East Courtneychester,USA,2024-10-17,Email
162,Darius,Smith,george97@example.net,F,49,Tashatown,USA,2026-04-21,Google Display
163,Christopher,Richard,ryanmorales@example.org,F,21,Ramirezstad,USA,2024-09-23,Email
164,Kyle,Morgan,kimberly18@example.net,F,47,Lake Chad,USA,2023-11-19,Affiliate
165,William,Bullock,michael23@example.org,M,54,Lake Mark,USA,2023-12-25,Email
166,James,Morrison,thompsonkendra@example.com,F,40,Ericmouth,USA,2024-12-07,Instagram Ads
167,Anne,Riley,michelle52@example.com,F,56,West Michael,USA,2023-09-30,Instagram Ads
168,Scott,Turner,brittany58@example.org,M,62,New Jamesside,USA,2024-06-22,Facebook Ads
169,Shannon,Brown,chase19@example.net,M,32,Lake Nicoleview,USA,2025-01-23,Email
170,Steven,Spencer,colelisa@example.net,M,60,Tashatown,USA,2024-02-09,Google Display
171,Cassidy,Mason,hayeslisa@example.com,M,46,Juliechester,USA,2026-06-28,Google Display
172,Christopher,Lucas,wrightsamuel@example.com,F,53,Jacquelineland,USA,2025-02-11,Instagram Ads
173,Chelsea,Cox,paul59@example.org,M,30,North Noahstad,USA,2025-11-28,Google Display
174,Deborah,Jones,grantpaul@example.com,M,49,Port Keith,USA,2025-09-18,Affiliate
175,Diane,Escobar,mathewaguilar@example.org,F,24,Lisatown,USA,2026-04-17,Email
176,Kyle,Douglas,tanderson@example.org,M,68,Cassandraton,USA,2024-06-21,Google Display
177,Nicholas,Conner,elizabethcalderon@example.net,M,39,Tashatown,USA,2026-07-14,Affiliate
178,Rita,Davis,bromero@example.com,F,45,South Patrickmouth,USA,2024-06-20,Email
179,Stephanie,Peterson,ilee@example.org,F,19,East Nathaniel,USA,2023-10-10,Google Display
180,Megan,Garcia,stanleynancy@example.net,M,59,Lake Nicoleview,USA,2023-12-08,Google Display
181,Nicholas,Martin,jenniferwilliams@example.com,F,62,Jacquelineland,USA,2025-07-28,Affiliate
182,John,Wallace,karen73@example.net,F,23,Teresaburgh,USA,2024-04-05,Google Display
183,Tammy,Mueller,michealvalentine@example.com,M,45,South Noah,USA,2024-12-05,Google Display
184,Juan,Reyes,mburch@example.net,M,45,Lake Mark,USA,2023-12-16,Instagram Ads
185,John,Davidson,angela18@example.org,F,61,Jasonfort,USA,2024-05-25,Google Search
186,Kathryn,Nelson,mariahdavis@example.org,M,61,Herrerafurt,USA,2025-12-29,Instagram Ads
187,Nicole,Arias,gbrown@example.com,M,37,Juliechester,USA,2024-04-01,Affiliate
188,Virginia,Brooks,florescory@example.net,M,47,Ramirezstad,USA,2025-06-29,Facebook Ads
189,Lacey,Taylor,samantha72@example.net,F,28,Daviston,USA,2024-12-13,Google Search
190,Christina,Bullock,scottmary@example.net,F,45,Daviston,USA,2026-05-13,Facebook Ads
191,Chelsea,Henderson,john10@example.org,M,42,Daviston,USA,2024-10-20,Google Display
192,Laura,Bryant,copelandvincent@example.net,M,56,New Stephanie,USA,2023-08-05,Google Display
193,Zachary,Allen,kellysmith@example.com,F,50,East William,USA,2024-04-06,Google Search
194,Robert,Beck,millsmichael@example.net,F,18,Juliechester,USA,2025-03-05,Google Display
195,Kristin,Romero,myerstheodore@example.net,M,44,Danielchester,USA,2024-09-14,Instagram Ads
196,Nathaniel,Burgess,kristina53@example.net,F,69,East Courtneychester,USA,2025-07-07,Google Display
197,Dale,Perkins,dennis58@example.com,M,30,Juliechester,USA,2025-12-25,Google Search
198,Gregory,Maxwell,epollard@example.net,F,58,Lake Chad,USA,2024-02-02,Google Display
199,Dennis,Baldwin,mjohnson@example.org,M,20,North John,USA,2025-12-01,Email
200,Nina,Stewart,zachary87@example.com,M,56,Coxberg,USA,2023-08-27,Email
201,Deborah,Mitchell,glennmartin@example.org,M,23,Ericmouth,USA,2025-12-10,Affiliate
202,Samuel,Ross,ykline@example.com,F,25,Herrerafurt,USA,2026-06-19,Google Display
203,Tyler,Jimenez,laurie61@example.com,M,44,Lisatown,USA,2025-05-08,Google Search
204,Lynn,Gardner,curtis54@example.com,F,26,Adamsborough,USA,2024-11-17,Instagram Ads
205,Jennifer,Jackson,cbell@example.net,F,54,Adamsborough,USA,2026-02-25,Google Search
206,Michael,Bolton,danielle01@example.net,F,50,South Noah,USA,2025-06-15,Google Display
207,Michael,Owen,stephaniethomas@example.net,F,68,Ericmouth,USA,2025-07-30,Google Display
208,Samuel,Martinez,kimberlydiaz@example.com,M,59,Port Colleenhaven,USA,2026-05-23,Facebook Ads
209,Antonio,Hernandez,xrush@example.com,F,61,West Michael,USA,2025-10-31,Affiliate
210,Audrey,Moreno,redwards@example.org,M,41,Robinsonshire,USA,2026-06-04,Facebook Ads
211,Anthony,Lopez,hmcintyre@example.com,M,32,Port Jesseville,USA,2025-11-13,Facebook Ads
212,Jane,Lewis,heather73@example.org,M,49,Jacquelineland,USA,2023-12-13,Instagram Ads
213,Charles,Thompson,zosborn@example.net,F,49,Cassandraton,USA,2026-06-12,Email
214,Valerie,Contreras,piercekelly@example.com,M,41,Tashatown,USA,2026-02-05,Affiliate
215,Jennifer,Ho,laurahicks@example.org,F,58,West Donald,USA,2026-07-01,Instagram Ads
216,Laura,Young,jjohnson@example.net,M,69,Lake Chad,USA,2024-08-25,Google Search
217,Linda,Arnold,jonesraymond@example.net,M,66,New Mariotown,USA,2025-09-12,Facebook Ads
218,Alicia,Hammond,martinezlogan@example.org,F,66,New Stephanie,USA,2024-11-22,Affiliate
219,Erin,Cooper,katrinaanderson@example.net,F,69,Coxberg,USA,2026-04-11,Affiliate
220,Brian,Martinez,kevinmartin@example.net,M,29,Lake Roberto,USA,2024-03-21,Email
221,Stacey,Stone,meghan43@example.net,M,56,North Noahstad,USA,2026-05-31,Affiliate
222,Joshua,Weber,shawgary@example.net,F,19,West Natashaport,USA,2024-01-02,Facebook Ads
223,Donna,Le,megan90@example.org,M,20,Wilkersonmouth,USA,2023-10-15,Email
224,Stacy,Wise,debra96@example.net,F,66,West Donald,USA,2025-06-17,Facebook Ads
225,Tyler,Burton,dawn47@example.org,F,54,East William,USA,2025-12-15,Google Display
226,Gail,Evans,barkereric@example.com,F,66,North Noahstad,USA,2024-12-29,Google Display
227,James,Lawson,michelle55@example.com,F,34,Tashatown,USA,2023-12-08,Affiliate
228,Mitchell,Hoffman,john14@example.com,M,66,East Courtneychester,USA,2024-04-14,Instagram Ads
229,Colin,Roberts,alin@example.org,F,19,North John,USA,2026-06-07,Email
230,Rachel,Li,james27@example.net,F,19,Tashatown,USA,2024-12-10,Google Display
231,Natasha,Jimenez,landrywilliam@example.org,F,45,Adamsborough,USA,2024-03-09,Instagram Ads
232,Michael,Williams,pharper@example.net,M,40,South Noah,USA,2024-12-14,Google Display
233,Amanda,Boone,qanderson@example.net,M,54,Tashatown,USA,2024-08-21,Email
234,Richard,Williams,hudsonjames@example.net,F,49,Jasonfort,USA,2024-05-29,Facebook Ads
235,Paul,Cole,marcia99@example.org,F,50,Adamsborough,USA,2023-12-06,Instagram Ads
236,Colin,Brooks,angela52@example.org,F,18,Ramirezstad,USA,2025-05-08,Google Search
237,Richard,Williams,taylormason@example.com,F,36,Jasonfort,USA,2025-02-06,Google Search
238,Eduardo,Barry,markaustin@example.org,F,19,East Nathaniel,USA,2024-09-20,Facebook Ads
239,Christina,Kirby,william88@example.com,M,61,Ericmouth,USA,2025-09-01,Instagram Ads
240,Kevin,Cabrera,mark16@example.net,F,43,Danielchester,USA,2024-06-19,Email
241,Rachel,Wiggins,carlsonjoseph@example.net,M,49,Lake Nicoleview,USA,2025-11-22,Affiliate
242,Kimberly,Lane,silvageorge@example.net,F,23,South Patrickmouth,USA,2025-09-15,Facebook Ads
243,Kim,James,anthonyvaughan@example.org,M,49,Lake Mark,USA,2024-02-12,Instagram Ads
244,Scott,Barnes,avaughn@example.net,F,21,Jacquelineland,USA,2025-11-13,Google Search
245,Samantha,Salas,thorntonapril@example.net,F,28,Lake Nicoleview,USA,2024-07-08,Email
246,Eileen,Fox,sue78@example.com,F,34,East Courtneychester,USA,2025-03-07,Affiliate
247,Erica,Dillon,chelsea33@example.com,F,55,Wilkersonmouth,USA,2025-03-20,Affiliate
248,Jeffrey,Dudley,kellie37@example.com,F,41,South Noah,USA,2024-12-24,Google Search
249,Ann,Michael,keith98@example.com,F,22,West Michael,USA,2026-03-25,Facebook Ads
250,Ralph,Reed,kellyroberts@example.net,M,69,Adamsborough,USA,2023-10-12,Facebook Ads
251,Sandra,Douglas,ilewis@example.com,M,51,Port Jesseville,USA,2026-05-05,Instagram Ads
252,Heather,Taylor,johnsantiago@example.net,F,23,South Noah,USA,2024-03-21,Affiliate
253,Jesse,Garcia,jennifer12@example.org,F,39,North Noahstad,USA,2026-06-09,Instagram Ads
254,Tiffany,Moore,mwoods@example.com,F,28,West Michael,USA,2024-07-03,Google Search
255,Debbie,Velez,pearsonjesse@example.net,M,65,East Lydiamouth,USA,2025-09-17,Facebook Ads
256,Sharon,Gentry,robertmonroe@example.org,M,33,South Noah,USA,2026-07-14,Facebook Ads
257,Randy,Simpson,nancy04@example.net,M,50,East Nathaniel,USA,2025-05-08,Google Search
258,Sarah,Rogers,ihays@example.net,M,26,Danielchester,USA,2025-01-09,Facebook Ads
259,Sheena,Rosales,znelson@example.org,M,23,New Stephanie,USA,2024-07-14,Google Search
260,Jessica,Wong,alexisrogers@example.com,F,33,Lake Nicoleview,USA,2025-03-31,Google Display
261,Katherine,Thompson,gwilcox@example.com,F,46,Port Keith,USA,2023-10-21,Facebook Ads
262,Elizabeth,Lopez,thomasboyle@example.org,F,20,Lake Nicoleview,USA,2024-04-28,Facebook Ads
263,Joe,Molina,kevin90@example.com,M,37,Coxberg,USA,2025-07-03,Google Display
264,Heather,Brown,marshallerik@example.net,M,53,New Stephanie,USA,2025-01-18,Affiliate
265,Paula,Padilla,hannah45@example.net,M,36,New Kellystad,USA,2024-03-16,Instagram Ads
266,Susan,Mendoza,madkins@example.com,F,43,Ericmouth,USA,2024-10-15,Instagram Ads
267,Andrea,Ruiz,kathleenbecker@example.net,M,20,East Nathaniel,USA,2026-02-28,Google Display
268,Christopher,Griffin,christian91@example.org,M,36,Teresaburgh,USA,2026-01-11,Google Display
269,Rebecca,Harris,franklinbond@example.com,F,37,South Patrickmouth,USA,2023-11-22,Google Search
270,Jamie,Aguilar,nolansean@example.org,F,49,East Lydiamouth,USA,2024-11-25,Email
271,William,Bryant,hansenemily@example.com,M,24,North John,USA,2025-09-17,Affiliate
272,Randy,Velasquez,bethwilliams@example.com,M,69,Ramirezstad,USA,2025-08-23,Affiliate
273,Amber,Brown,andersenthomas@example.com,M,58,New Jessica,USA,2024-10-08,Affiliate
274,Kayla,Cannon,ybrooks@example.com,M,50,Lake Chad,USA,2026-02-25,Instagram Ads
275,Rebecca,Bennett,desireebailey@example.org,M,57,East Nathaniel,USA,2026-07-10,Facebook Ads
276,Phillip,Anderson,maryavila@example.com,M,56,East William,USA,2024-12-06,Google Display
277,Jennifer,Coleman,pmorrow@example.com,F,35,West Natashaport,USA,2024-07-31,Google Display
278,Joshua,Pineda,johnsondonna@example.net,F,57,Robinsonshire,USA,2025-11-03,Instagram Ads
279,Nicole,Smith,carloswheeler@example.com,F,18,Lake Mark,USA,2025-05-03,Affiliate
280,Jacqueline,Williams,moralesjimmy@example.org,F,28,Lake Roberto,USA,2025-10-21,Affiliate
281,Kimberly,Taylor,jim95@example.net,M,45,New Jessica,USA,2025-05-03,Affiliate
282,Emily,Flores,nancy83@example.com,M,42,East Courtneychester,USA,2024-06-11,Facebook Ads
283,Bruce,Fry,conniesimmons@example.com,M,67,New Kellystad,USA,2023-09-07,Google Search
284,Maxwell,Schneider,ufloyd@example.net,M,40,Lake Roberto,USA,2024-10-16,Facebook Ads
285,Edward,Bennett,oallen@example.com,M,48,East Lydiamouth,USA,2026-02-11,Email
286,Drew,Ford,harttammy@example.net,F,47,South Patrickmouth,USA,2025-02-17,Facebook Ads
287,Paul,Scott,deborah75@example.org,F,59,East Lydiamouth,USA,2025-02-24,Affiliate
288,Maria,Williams,mnunez@example.org,F,52,South Noah,USA,2026-03-01,Email
289,Jacob,Gill,timothybooth@example.com,F,24,South Patrickmouth,USA,2024-06-14,Facebook Ads
290,Regina,Lewis,suzannewilson@example.com,M,33,East Courtneychester,USA,2026-04-15,Affiliate
